DROP TABLE
SELECT 220
 type  | year | month | agg_count | disagg_count |  diff   | pct_diff 
-------+------+-------+-----------+--------------+---------+----------
 JUNO  | 2016 |     3 |       201 |          201 |       0 |     0.00
 JUNO  | 2016 |     4 |      5338 |       153338 | -148000 | -2772.57
 JUNO  | 2016 |     5 |     38974 |       174035 | -135061 |  -346.54
 JUNO  | 2016 |     6 |    210276 |       332933 | -122657 |   -58.33
 JUNO  | 2016 |     7 |    394237 |       466402 |  -72165 |   -18.30
 JUNO  | 2016 |     8 |    470903 |       619211 | -148308 |   -31.49
 JUNO  | 2016 |     9 |    526815 |       635115 | -108300 |   -20.56
 JUNO  | 2016 |    10 |    633227 |       857291 | -224064 |   -35.38
 JUNO  | 2016 |    11 |    655024 |       873407 | -218383 |   -33.34
 JUNO  | 2016 |    12 |    656652 |       974493 | -317841 |   -48.40
 JUNO  | 2017 |     1 |    684058 |       950588 | -266530 |   -38.96
 JUNO  | 2017 |     2 |    722593 |      1004225 | -281632 |   -38.98
 JUNO  | 2017 |     3 |    823947 |      1195637 | -371690 |   -45.11
 JUNO  | 2017 |     4 |    768288 |      1118189 | -349901 |   -45.54
 JUNO  | 2017 |     5 |    747669 |       801001 |  -53332 |    -7.13
 JUNO  | 2017 |     6 |    627672 |       914438 | -286766 |   -45.69
 JUNO  | 2017 |     7 |    669715 |       914051 | -244336 |   -36.48
 JUNO  | 2017 |     8 |    946877 |       946877 |       0 |     0.00
 JUNO  | 2017 |     9 |   1069736 |      1069736 |       0 |     0.00
 JUNO  | 2017 |    10 |   1162588 |      1162588 |       0 |     0.00
 JUNO  | 2017 |    11 |   1163709 |      1163709 |       0 |     0.00
 JUNO  | 2017 |    12 |   1296092 |      1296092 |       0 |     0.00
 JUNO  | 2018 |     1 |   1378191 |      1378191 |       0 |     0.00
 JUNO  | 2018 |     2 |   1329836 |      1329836 |       0 |     0.00
 JUNO  | 2018 |     3 |   1402393 |      1402393 |       0 |     0.00
 JUNO  | 2018 |     4 |    999872 |       999872 |       0 |     0.00
 JUNO  | 2018 |     5 |   1244326 |      1244326 |       0 |     0.00
 JUNO  | 2018 |     6 |   1101655 |      1101655 |       0 |     0.00
 JUNO  | 2018 |     7 |   1018602 |      1018602 |       0 |     0.00
 JUNO  | 2018 |     8 |   1032199 |      1032199 |       0 |     0.00
 JUNO  | 2018 |     9 |   1029481 |      1029481 |       0 |     0.00
 JUNO  | 2018 |    10 |   1104745 |      1104745 |       0 |     0.00
 JUNO  | 2018 |    11 |   1048668 |      1048668 |       0 |     0.00
 JUNO  | 2018 |    12 |   1123041 |       860436 |  262605 |    23.38
 LYFT  | 2015 |     4 |     80613 |        80746 |    -133 |    -0.16
 LYFT  | 2015 |     5 |    100862 |       101151 |    -289 |    -0.29
 LYFT  | 2015 |     6 |    111111 |       111581 |    -470 |    -0.42
 LYFT  | 2015 |     7 |    194815 |       195694 |    -879 |    -0.45
 LYFT  | 2015 |     8 |    318717 |       320504 |   -1787 |    -0.56
 LYFT  | 2015 |     9 |    399622 |       412702 |  -13080 |    -3.27
 LYFT  | 2015 |    10 |    434476 |       437395 |   -2919 |    -0.67
 LYFT  | 2015 |    11 |    450483 |       463600 |  -13117 |    -2.91
 LYFT  | 2015 |    12 |    524782 |       623754 |  -98972 |   -18.86
 LYFT  | 2016 |     1 |    564149 |       564238 |     -89 |    -0.02
 LYFT  | 2016 |     2 |    667766 |       667927 |    -161 |    -0.02
 LYFT  | 2016 |     3 |    691455 |       691593 |    -138 |    -0.02
 LYFT  | 2016 |     4 |    810447 |       810735 |    -288 |    -0.04
 LYFT  | 2016 |     5 |    994444 |       996178 |   -1734 |    -0.17
 LYFT  | 2016 |     6 |   1073973 |      1074722 |    -749 |    -0.07
 LYFT  | 2016 |     7 |    951376 |       951743 |    -367 |    -0.04
 LYFT  | 2016 |     8 |   1095428 |      1096020 |    -592 |    -0.05
 LYFT  | 2016 |     9 |   1068625 |      1069371 |    -746 |    -0.07
 LYFT  | 2016 |    10 |   1112748 |      1113161 |    -413 |    -0.04
 LYFT  | 2016 |    11 |   1112720 |      1114328 |   -1608 |    -0.14
 LYFT  | 2016 |    12 |   1272827 |      1275274 |   -2447 |    -0.19
 LYFT  | 2017 |     1 |   1285621 |      1287385 |   -1764 |    -0.14
 LYFT  | 2017 |     2 |   1619126 |      1621201 |   -2075 |    -0.13
 LYFT  | 2017 |     3 |   1923915 |      1925350 |   -1435 |    -0.07
 LYFT  | 2017 |     4 |   1766732 |      1767877 |   -1145 |    -0.06
 LYFT  | 2017 |     5 |   1934661 |      1936179 |   -1518 |    -0.08
 LYFT  | 2017 |     6 |   2010328 |      2011492 |   -1164 |    -0.06
 LYFT  | 2017 |     7 |   2278279 |      2286382 |   -8103 |    -0.36
 LYFT  | 2017 |     8 |   2384976 |      2398887 |  -13911 |    -0.58
 LYFT  | 2017 |     9 |   2528638 |      2529886 |   -1248 |    -0.05
 LYFT  | 2017 |    10 |   2904741 |      2904741 |       0 |     0.00
 LYFT  | 2017 |    11 |   2692200 |      2692200 |       0 |     0.00
 LYFT  | 2017 |    12 |   3031881 |      3031881 |       0 |     0.00
 LYFT  | 2018 |     1 |   3141012 |      3141012 |       0 |     0.00
 LYFT  | 2018 |     2 |   3144050 |      3144050 |       0 |     0.00
 LYFT  | 2018 |     3 |   3471602 |      3471602 |       0 |     0.00
 LYFT  | 2018 |     4 |   3332985 |      3332985 |       0 |     0.00
 LYFT  | 2018 |     5 |   3400356 |      3400356 |       0 |     0.00
 LYFT  | 2018 |     6 |   3664808 |      3664808 |       0 |     0.00
 LYFT  | 2018 |     7 |   3632375 |      3632375 |       0 |     0.00
 LYFT  | 2018 |     8 |   3936418 |      3936418 |       0 |     0.00
 LYFT  | 2018 |     9 |   3960252 |      3960252 |       0 |     0.00
 LYFT  | 2018 |    10 |   4246575 |      4246575 |       0 |     0.00
 LYFT  | 2018 |    11 |   4195596 |      4195596 |       0 |     0.00
 LYFT  | 2018 |    12 |   4697772 |      4697772 |       0 |     0.00
 OTHER | 2015 |     1 |    828162 |       872566 |  -44404 |    -5.36
 OTHER | 2015 |     2 |    845241 |       944112 |  -98871 |   -11.70
 OTHER | 2015 |     3 |    940886 |      1021653 |  -80767 |    -8.58
 OTHER | 2015 |     4 |   1334143 |      1438836 | -104693 |    -7.85
 OTHER | 2015 |     5 |   1226948 |      1373884 | -146936 |   -11.98
 OTHER | 2015 |     6 |   1117639 |      1164598 |  -46959 |    -4.20
 OTHER | 2015 |     7 |    863479 |       910868 |  -47389 |    -5.49
 OTHER | 2015 |     8 |   1374869 |      1439286 |  -64417 |    -4.69
 OTHER | 2015 |     9 |   2173408 |      2306827 | -133419 |    -6.14
 OTHER | 2015 |    10 |   3335916 |      3600954 | -265038 |    -7.94
 OTHER | 2015 |    11 |   3226100 |      3505892 | -279792 |    -8.67
 OTHER | 2015 |    12 |   3477804 |      3583191 | -105387 |    -3.03
 OTHER | 2016 |     1 |   3066452 |      3573395 | -506943 |   -16.53
 OTHER | 2016 |     2 |   3376874 |      3628288 | -251414 |    -7.45
 OTHER | 2016 |     3 |   3386919 |      3639835 | -252916 |    -7.47
 OTHER | 2016 |     4 |   3447227 |      3712936 | -265709 |    -7.71
 OTHER | 2016 |     5 |   3530631 |      3809840 | -279209 |    -7.91
 OTHER | 2016 |     6 |   3356889 |      3586492 | -229603 |    -6.84
 OTHER | 2016 |     7 |   2967274 |      3265769 | -298495 |   -10.06
 OTHER | 2016 |     8 |   2953043 |      3119228 | -166185 |    -5.63
 OTHER | 2016 |     9 |   2870578 |      2987775 | -117197 |    -4.08
 OTHER | 2016 |    10 |   2911218 |      3069025 | -157807 |    -5.42
 OTHER | 2016 |    11 |   2783927 |      2917592 | -133665 |    -4.80
 OTHER | 2016 |    12 |   2971749 |      3110486 | -138737 |    -4.67
 OTHER | 2017 |     1 |   2868699 |      2963056 |  -94357 |    -3.29
 OTHER | 2017 |     2 |   2675696 |      2765520 |  -89824 |    -3.36
 OTHER | 2017 |     3 |   3090981 |      3211950 | -120969 |    -3.91
 OTHER | 2017 |     4 |   2848793 |      2947290 |  -98497 |    -3.46
 OTHER | 2017 |     5 |   2921955 |      3011457 |  -89502 |    -3.06
 OTHER | 2017 |     6 |   2696358 |      2751133 |  -54775 |    -2.03
 OTHER | 2017 |     7 |   2554258 |      2605547 |  -51289 |    -2.01
 OTHER | 2017 |     8 |   2528908 |      2582913 |  -54005 |    -2.14
 OTHER | 2017 |     9 |   2519024 |      2569482 |  -50458 |    -2.00
 OTHER | 2017 |    10 |   2591090 |      2636453 |  -45363 |    -1.75
 OTHER | 2017 |    11 |   2493045 |      2531281 |  -38236 |    -1.53
 OTHER | 2017 |    12 |   2774053 |      2806193 |  -32140 |    -1.16
 OTHER | 2018 |     1 |   2558967 |      2600332 |  -41365 |    -1.62
 OTHER | 2018 |     2 |   2405935 |      2442046 |  -36111 |    -1.50
 OTHER | 2018 |     3 |   2584095 |      2621871 |  -37776 |    -1.46
 OTHER | 2018 |     4 |   2465064 |      2490681 |  -25617 |    -1.04
 OTHER | 2018 |     5 |   2309509 |      2329750 |  -20241 |    -0.88
 OTHER | 2018 |     6 |   2341966 |      2355884 |  -13918 |    -0.59
 OTHER | 2018 |     7 |   2011779 |      2027147 |  -15368 |    -0.76
 OTHER | 2018 |     8 |   2190958 |      2202407 |  -11449 |    -0.52
 OTHER | 2018 |     9 |   2145111 |      2156610 |  -11499 |    -0.54
 OTHER | 2018 |    10 |   2173018 |      2183387 |  -10369 |    -0.48
 OTHER | 2018 |    11 |   2125115 |      2098373 |   26742 |     1.26
 OTHER | 2018 |    12 |   2125734 |      2098000 |   27734 |     1.30
