 year |   pickup_datetime   
------+---------------------
 2001 | 2001-01-01 00:01:48
 2001 | 2001-01-01 00:02:26
 2001 | 2001-01-01 00:04:13
 2001 | 2001-01-01 00:05:12
 2001 | 2001-01-01 00:06:42
 2001 | 2001-01-01 00:07:04
 2001 | 2001-01-01 00:13:42
 2001 | 2001-01-01 22:55:43
 2001 | 2001-01-01 23:39:13
 2001 | 2001-01-05 11:45:23
 2001 | 2001-01-06 06:03:30
 2001 | 2001-01-06 06:10:12
 2002 | 2002-12-31 21:38:11
 2002 | 2002-12-31 22:30:31
 2002 | 2002-12-31 22:34:10
 2002 | 2002-12-31 22:34:35
 2002 | 2002-12-31 23:01:55
 2002 | 2002-12-31 23:02:29
 2002 | 2002-12-31 23:03:12
 2002 | 2002-12-31 23:03:13
 2002 | 2002-12-31 23:04:50
 2002 | 2002-12-31 23:05:02
 2002 | 2002-12-31 23:05:15
 2002 | 2002-12-31 23:10:06
 2002 | 2002-12-31 23:14:24
 2002 | 2002-12-31 23:14:56
 2002 | 2002-12-31 23:16:43
 2002 | 2002-12-31 23:35:19
 2002 | 2002-12-31 23:39:14
 2002 | 2002-12-31 23:40:19
 2002 | 2002-12-31 23:47:02
 2002 | 2002-12-31 23:58:47
 2003 | 2003-01-01 00:02:45
 2003 | 2003-01-01 00:06:34
 2003 | 2003-01-01 00:07:28
 2003 | 2003-01-01 00:08:08
 2003 | 2003-01-01 00:15:55
 2003 | 2003-01-01 00:17:30
 2003 | 2003-01-01 00:20:56
 2003 | 2003-01-01 00:25:20
 2003 | 2003-01-01 00:31:27
 2003 | 2003-01-01 00:58:48
 2003 | 2003-01-01 01:12:28
 2003 | 2003-01-01 04:43:26
 2003 | 2003-01-01 23:09:26
 2003 | 2003-01-14 00:17:13
 2003 | 2003-01-14 18:58:33
 2003 | 2003-01-14 20:01:12
 2003 | 2003-12-23 05:01:51
 2008 | 2008-12-31 00:14:39
 2008 | 2008-12-31 01:02:42
 2008 | 2008-12-31 04:11:14
 2008 | 2008-12-31 05:10:23
 2008 | 2008-12-31 05:42:35
 2008 | 2008-12-31 05:44:30
 2008 | 2008-12-31 05:58:50
 2008 | 2008-12-31 06:00:07
 2008 | 2008-12-31 06:20:13
 2008 | 2008-12-31 06:34:48
 2008 | 2008-12-31 06:36:53
 2008 | 2008-12-31 06:43:08
